charity,2013,2014,2015,2016,2017,2018,2019,2020
Albert Schweitzer Foundation,unreviewed,standout,standout,standout,standout,top,top,top
The Good Food Institute,unreviewed,unreviewed,unreviewed,top,top,top,top,top
The Humane League,unreviewed,top,top,top,top,top,top,top
Wild Animal Initiative,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,top
Anima International,unreviewed,unreviewed,unreviewed,exploratory,standout,standout,top,standout
Compassion In World Farming USA (Compassion USA),unreviewed,comprehensive,comprehensive,comprehensive,comprehensive,standout,standout,standout
Essere Animali,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,standout
Faunalytics,unreviewed,unreviewed,standout,standout,standout,standout,standout,standout
Federation of Indian Animal Protection Organisations (FIAPO),unreviewed,exploratory,exploratory,exploratory,exploratory,exploratory,standout,standout
Good Food Fund,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,standout
Sinergia Animal,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,standout,standout,standout
Sociedade Vegetariana Brasileira,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,standout,standout,standout
Vegetarianos Hoy,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,standout
Animals Now,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,comprehensive,comprehensive
Cellular Agriculture Society,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,comprehensive,comprehensive,comprehensive
Compassion In World Farming International (Compassion International),unreviewed,unreviewed,comprehensive,comprehensive,comprehensive,comprehensive,comprehensive,comprehensive
Environment & Animal Society of Taiwan (EAST),unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,unreviewed,comprehensive
HSUS Farm Animal Protection Campaign,unreviewed,standout,standout,comprehensive,comprehensive,comprehensive,comprehensive,comprehensive
Mercy for Animals,unreviewed,top,top,comprehensive,top,top,comprehensive,comprehensive
Modern Agriculture Foundation,unreviewed,unreviewed,unreviewed,comprehensive,comprehensive,comprehensive,comprehensive,comprehensive
ProVeg International,unreviewed,unreviewed,unreviewed,standout,standout,comprehensive,comprehensive,comprehensive
The Nonhuman Rights Project (NhRP),unreviewed,unreviewed,standout,standout,standout,standout,comprehensive,comprehensive
Vegan Outreach,unreviewed,standout,standout,standout,standout,comprehensive,comprehensive,comprehensive
